,economy,year,LandArea(count),EnergieNatualGaz(%total),RenewableConso(%totalconso),FossilfuelConso(%totalconso),PrimaryEnergy(%total),ConsoElec,PrimaryEnergy(kgoil),CO2Emission(kt),AgricultureMethane(ktco2),AgricultureMethane(٪total),EnergieMethane(ktco2),EnergieMethane,GlobalMethane(ktco2),GlobalMethane(pct_change),Population_density,AirTransport,GDP($),Population,meth_valuebylandaera,Emissions intensity,Per capita emissions,Per capita density emissions
0,ABW,1960,,,,,,,,,,,,,,,,,,54608.0,,,,
1,ABW,1961,180.0,,,,,,,,,,,,,,310.061111111111,,,55811.0,,,,
2,ABW,1962,180.0,,,,,,,,,,,,,,314.9,,,56682.0,,,,
3,ABW,1963,180.0,,,,,,,,,,,,,,319.305555555556,,,57475.0,,,,
4,ABW,1964,180.0,,,,,,,,,,,,,,323.211111111111,,,58178.0,,,,
5,ABW,1965,180.0,,,,,,,,,,,,,,326.566666666667,,,58782.0,,,,
6,ABW,1966,180.0,,,,,,,,,,,,,,329.394444444444,,,59291.0,,,,
7,ABW,1967,180.0,,,,,,,,,,,,,,330.677777777778,,,59522.0,,,,
8,ABW,1968,180.0,,,,,,,,,,,,,,330.394444444444,,,59471.0,,,,
9,ABW,1969,180.0,,,,,,,,,,,,,,329.611111111111,,,59330.0,,,,
10,ABW,1970,180.0,,,,,,,,,7.81421030039674,,4.19200190637664,,,328.366666666667,,,59106.0,,,,
11,ABW,1971,180.0,,,,,,,,,7.66006558122809,,4.06868300138235,,,326.755555555556,,,58816.0,,,,
12,ABW,1972,180.0,,,,,,,,,7.51350582031861,,3.9943844509302,,,326.972222222222,,,58855.0,,,,
13,ABW,1973,180.0,,,,,,,,,7.37638819791023,,3.94585611926334,,,329.805555555556,,,59365.0,,,,
14,ABW,1974,180.0,,,,,,,,,7.25186175131417,,3.83208481506221,,,333.488888888889,,,60028.0,,,,
15,ABW,1975,180.0,,,,,,,,,7.1368728744082,,3.75878100233033,,,337.305555555556,,,60715.0,,,,
16,ABW,1976,180.0,,,,,,,,,6.95855804144777,,4.63814403019888,,,339.961111111111,,,61193.0,,,,
17,ABW,1977,180.0,,,,,,,,,6.86024705076641,,4.56827756609429,,,341.472222222222,,,61465.0,,,,
18,ABW,1978,180.0,,,,,,,,,6.54509894939719,,7.66517296494664,,,342.988888888889,,,61738.0,,,,
