,economy,time,EN.ATM.METH.AG.KT.CE,EN.ATM.METH.AG.ZS,EN.ATM.METH.EG.KT.CE,EN.ATM.METH.EG.ZS,EN.ATM.METH.ZG
0,ABW,YR1960,,,,,
1,ABW,YR1961,,,,,
2,ABW,YR1962,,,,,
3,ABW,YR1963,,,,,
4,ABW,YR1964,,,,,
5,ABW,YR1965,,,,,
6,ABW,YR1966,,,,,
7,ABW,YR1967,,,,,
8,ABW,YR1968,,,,,
9,ABW,YR1969,,,,,
10,ABW,YR1970,,7.81421030039674,,4.19200190637664,
11,ABW,YR1971,,7.66006558122809,,4.06868300138235,
12,ABW,YR1972,,7.51350582031861,,3.9943844509302,
13,ABW,YR1973,,7.37638819791023,,3.94585611926334,
14,ABW,YR1974,,7.25186175131417,,3.83208481506221,
15,ABW,YR1975,,7.1368728744082,,3.75878100233033,
16,ABW,YR1976,,6.95855804144777,,4.63814403019888,
17,ABW,YR1977,,6.86024705076641,,4.56827756609429,
18,ABW,YR1978,,6.54509894939719,,7.66517296494664,
19,ABW,YR1979,,6.41305105257498,,8.27208385792847,
20,ABW,YR1980,,6.31702351206149,,8.35801642138251,
21,ABW,YR1981,,6.18933535805329,,8.84319788583205,
22,ABW,YR1982,,6.07430067722162,,9.0615540527265,
23,ABW,YR1983,,5.99238385349234,,8.78281301876661,
24,ABW,YR1984,,5.86655468078772,,9.2405857077657,
25,ABW,YR1985,,5.73265496772068,,9.91177530899028,
26,ABW,YR1986,,5.78249982141771,,7.86287632116079,
27,ABW,YR1987,,5.59873522218585,,9.62493616690045,
28,ABW,YR1988,,5.50322899312953,,9.98187132929531,
29,ABW,YR1989,,5.37460693156412,,10.7042677660124,
30,ABW,YR1990,,,,,
31,ABW,YR1991,,,,,2.03732012018345
32,ABW,YR1992,,,,,4.75198987928944
33,ABW,YR1993,,,,,7.96808286331769
34,ABW,YR1994,,,,,11.2013072584471
35,ABW,YR1995,,,,,13.9660534500026
36,ABW,YR1996,,,,,11.7758684307627
37,ABW,YR1997,,,,,41.7841705761425
38,ABW,YR1998,,,,,14.3047282694639
39,ABW,YR1999,,,,,15.6673343524327
40,ABW,YR2000,,,,,18.9407516736071
41,ABW,YR2001,,,,,21.3477149333193
42,ABW,YR2002,,,,,24.5381108006958
43,ABW,YR2003,,,,,27.2916556849929
44,ABW,YR2004,,,,,30.4820515523694
45,ABW,YR2005,,,,,32.9832375731379
46,ABW,YR2006,,,,,36.2335933793685
47,ABW,YR2007,,,,,39.9939381160719
48,ABW,YR2008,,,,,43.2693321385272
49,ABW,YR2009,,,,,46.5803067840388
50,ABW,YR2010,,,,,49.838569395393
51,ABW,YR2011,,,,,51.3369550893469
52,ABW,YR2012,,,,,52.8353407833008
53,ABW,YR2013,,,,,
54,ABW,YR2014,,,,,
55,ABW,YR2015,,,,,
56,ABW,YR2016,,,,,
57,ABW,YR2017,,,,,
58,ABW,YR2018,,,,,
59,ABW,YR2019,,,,,
60,ABW,YR2020,,,,,
61,ABW,YR2021,,,,,
62,AFE,YR1960,,,,,
63,AFE,YR1961,,,,,
64,AFE,YR1962,,,,,
65,AFE,YR1963,,,,,
66,AFE,YR1964,,,,,
67,AFE,YR1965,,,,,
68,AFE,YR1966,,,,,
69,AFE,YR1967,,,,,
70,AFE,YR1968,,,,,
71,AFE,YR1969,,,,,
72,AFE,YR1970,,,,,
73,AFE,YR1971,,,,,
74,AFE,YR1972,,,,,
75,AFE,YR1973,,,,,
76,AFE,YR1974,,,,,
77,AFE,YR1975,,,,,
78,AFE,YR1976,,,,,
79,AFE,YR1977,,,,,
80,AFE,YR1978,,,,,
81,AFE,YR1979,,,,,
82,AFE,YR1980,,,,,
83,AFE,YR1981,,,,,
84,AFE,YR1982,,,,,
85,AFE,YR1983,,,,,
86,AFE,YR1984,,,,,
87,AFE,YR1985,,,,,
88,AFE,YR1986,,,,,
89,AFE,YR1987,,,,,
90,AFE,YR1988,,,,,
91,AFE,YR1989,,,,,
92,AFE,YR1990,232240.0,70.0192661831853,52770.0,17.1449098725291,
93,AFE,YR1991,230410.0,69.0702826025236,54010.0,17.7813634056595,
94,AFE,YR1992,234340.0,68.7439888324679,54640.0,18.0847781136399,
95,AFE,YR1993,232190.0,67.5572007298257,59020.0,18.725020094675,
96,AFE,YR1994,235630.0,66.9885636419988,62930.0,18.941061527051,
97,AFE,YR1995,239710.0,67.0599176710941,67020.0,19.0178234000188,
98,AFE,YR1996,239130.0,66.632527316319,71400.0,19.5013153443493,
99,AFE,YR1997,241940.0,66.384898493342,76390.0,19.7433892156986,
100,AFE,YR1998,256260.0,67.3248356979876,79920.0,19.3466781366968,
101,AFE,YR1999,256520.0,67.0615813442033,82530.0,19.6389376149675,
102,AFE,YR2000,254030.0,66.6847847898879,84790.0,19.9873045598598,
103,AFE,YR2001,254630.0,66.1468020706628,87050.0,20.9502291012584,
104,AFE,YR2002,269240.0,65.685686728042,89650.0,20.8598917020215,
105,AFE,YR2003,275420.0,64.8881810436463,95020.0,21.3298040936197,
106,AFE,YR2004,277990.0,64.0554819352707,99910.0,21.8873410772936,
107,AFE,YR2005,289090.0,64.045986050421,104280.0,22.0384036619372,
108,AFE,YR2006,283130.0,62.4652146101028,107600.0,23.0558221000366,
109,AFE,YR2007,304150.0,63.0104454439688,111450.0,22.8554071331722,
110,AFE,YR2008,315550.0,62.6985710972566,116110.0,23.1592357819407,
111,AFE,YR2009,313850.0,,116830.0,,
112,AFE,YR2010,325890.0,,119130.0,,
113,AFE,YR2011,328810.0,,119470.0,,
114,AFE,YR2012,333750.0,,98820.0,,
115,AFE,YR2013,332110.0,,101150.0,,
116,AFE,YR2014,332210.0,,104030.0,,
117,AFE,YR2015,337620.0,,105630.0,,
118,AFE,YR2016,341850.0,,104970.0,,
119,AFE,YR2017,340800.0,,107440.0,,
120,AFE,YR2018,342710.0,,105540.0,,
121,AFE,YR2019,345800.0,,106110.0,,
122,AFE,YR2020,,,,,
123,AFE,YR2021,,,,,
124,AFG,YR1960,,,,,
125,AFG,YR1961,,,,,
126,AFG,YR1962,,,,,
127,AFG,YR1963,,,,,
128,AFG,YR1964,,,,,
129,AFG,YR1965,,,,,
130,AFG,YR1966,,,,,
131,AFG,YR1967,,,,,
132,AFG,YR1968,,,,,
133,AFG,YR1969,,,,,
134,AFG,YR1970,,77.0732332635006,,11.435282747626,
135,AFG,YR1971,,76.6494242566159,,11.5554502666493,
136,AFG,YR1972,,72.7575082886602,,13.7635195388846,
137,AFG,YR1973,,74.0168509610213,,12.4763229148402,
138,AFG,YR1974,,73.8694791828954,,13.0591584516753,
139,AFG,YR1975,,74.7964846218629,,12.3926226943348,
140,AFG,YR1976,,75.4968491826752,,11.3698054756429,
141,AFG,YR1977,,74.420668720537,,11.983379035672,
142,AFG,YR1978,,74.3670065680964,,11.5715263956178,
143,AFG,YR1979,,74.1112359708966,,11.1790709467944,
144,AFG,YR1980,,71.8009675792249,,13.4302155067797,
145,AFG,YR1981,,71.7490533461921,,13.055030295832,
146,AFG,YR1982,,71.4161563334267,,13.0184032086255,
147,AFG,YR1983,,69.5622839915209,,13.9460019024161,
148,AFG,YR1984,,65.9417206080958,,15.8081731347606,
149,AFG,YR1985,,63.8192150207339,,15.9852188419246,
150,AFG,YR1986,,59.2664795116408,,17.7891430158128,
151,AFG,YR1987,,63.601436630425,,13.3227095041493,
152,AFG,YR1988,,63.8128921219679,,14.0993966921707,
153,AFG,YR1989,,66.4751356306781,,9.84372969122155,
154,AFG,YR1990,5360.0,59.7547380156076,280.0,27.9821627647715,
155,AFG,YR1991,5610.0,61.8522601984565,240.0,25.2480705622933,0.976718697149037
156,AFG,YR1992,5670.0,63.0700778642937,200.0,22.9143492769744,-3.17335249187816
157,AFG,YR1993,5720.0,64.3419572553431,160.0,20.6974128233971,-2.00181446802262
158,AFG,YR1994,5930.0,66.1830357142857,120.0,18.0803571428571,0.515891016547854
159,AFG,YR1995,6250.0,68.3807439824945,80.0,15.3172866520788,3.3858707479961
160,AFG,YR1996,7040.0,70.896273917422,90.0,13.4944612286002,12.901864025025
161,AFG,YR1997,7710.0,72.7358490566038,90.0,12.1698113207547,20.7932266852658
162,AFG,YR1998,8220.0,74.054054054054,90.0,11.0810810810811,27.172314154686
163,AFG,YR1999,8990.0,75.737152485257,90.0,9.94102780117944,35.1136271268214
164,AFG,YR2000,7710.0,72.8045325779037,90.0,10.576015108593,23.029584743785
165,AFG,YR2001,6420.0,68.5897435897436,80.0,11.7521367521368,13.6205716623097
166,AFG,YR2002,8190.0,73.1903485254692,80.0,9.562109025916,30.1779856782885
167,AFG,YR2003,8430.0,73.4320557491289,70.0,9.14634146341463,35.6996583451108
168,AFG,YR2004,8340.0,72.7748691099476,60.0,8.90052356020942,37.9389006736081
169,AFG,YR2005,8500.0,72.8363324764353,60.0,8.56898029134533,40.263360069642
170,AFG,YR2006,8650.0,58.0926796507723,280.0,26.8636668905306,42.5078465253724
171,AFG,YR2007,8800.0,48.6187845303867,500.0,38.6740331491713,44.8650817166126
172,AFG,YR2008,9800.0,44.2038791159224,730.0,45.0608930987821,47.1554542856319
173,AFG,YR2009,9990.0,,950.0,,50.7332600903563
174,AFG,YR2010,11510.0,,1170.0,,76.9014549831008
175,AFG,YR2011,11530.0,,1380.0,,78.6704695329318
176,AFG,YR2012,11380.0,,1580.0,,80.4394840827628
177,AFG,YR2013,11280.0,,1780.0,,
